Id,userId,movieId,rating
0,1,6,3.7854686
1,1,10,3.4787717
2,1,12,3.1912682
3,1,14,4.182982
4,1,17,3.4355655
5,1,20,2.6985452
6,1,23,2.9676769
7,1,24,2.230639
8,1,27,2.7161083
9,1,31,4.1157436
10,1,33,4.2557135
11,1,36,3.672343
12,1,39,4.1364565
13,1,44,3.6842968
14,1,47,4.0880246
15,1,49,3.3721647
16,1,51,3.7896926
17,1,53,3.817188
18,1,54,3.7462313
19,1,56,2.4186895
20,1,60,3.4860682
21,1,61,3.840755
22,1,62,3.8557763
23,1,64,2.423759
24,1,65,3.218397
25,1,67,3.6690757
26,1,69,3.8869562
27,1,70,3.9520354
28,1,72,4.110735
29,1,73,3.9047213
30,1,74,2.5107489
31,1,76,3.4072673
32,1,78,3.994705
33,1,80,3.4310875
34,1,81,3.2137632
35,1,82,3.7207088
36,1,84,3.9564166
37,1,85,2.4503765
38,1,86,3.5421247
39,1,90,4.0629196
40,1,91,4.5255775
41,1,92,4.176859
42,1,96,4.0494757
43,1,97,4.076814
44,1,98,3.9839916
45,1,100,4.2019014
46,1,102,4.0589867
47,1,103,3.9282649
48,1,104,4.087914
49,1,107,3.8931608
50,1,108,3.8748157
51,1,112,3.9228268
52,1,113,3.1848402
53,1,114,3.2518098
54,1,117,3.815544
55,1,118,3.7253795
56,1,120,3.5859728
57,1,121,2.7668095
58,1,125,2.2413394
59,1,128,3.7663326
60,1,129,3.7868133
61,1,130,2.4657893
62,1,132,3.8532152
63,1,134,3.780801
64,1,140,3.2743514
65,1,143,3.4773085
66,1,145,4.070483
67,1,148,3.0865445
68,1,150,3.7413921
69,1,151,3.0831308
70,1,154,3.5898666
71,1,155,3.4435291
72,1,157,3.3762088
73,1,159,3.0886173
74,1,160,3.269826
75,1,161,3.405771
76,1,163,4.197706
77,1,164,3.492462
78,1,170,2.512623
79,1,171,3.732544
80,1,174,4.2511597
81,1,175,3.096838
82,1,177,2.6653616
83,1,180,3.5817268
84,1,183,3.039667
85,1,184,3.5052478
86,1,185,2.7841964
87,1,186,3.7904866
88,1,188,3.6384633
89,1,189,2.262975
90,1,190,2.1354775
91,1,193,3.117332
92,1,196,3.3406544
93,1,200,2.8378482
94,1,201,3.6454077
95,1,202,3.2759583
96,1,206,4.25387
97,1,208,3.8350086
98,1,209,4.020666
99,1,210,3.8338532
100,1,212,3.45093
101,1,213,3.820675
102,1,214,3.1154537
103,1,215,3.3847334
104,1,218,3.1730344
105,1,219,3.368383
106,1,221,1.9830534
107,1,222,3.346846
108,1,224,2.339757
109,1,225,1.7258357
110,1,226,3.6298237
111,1,227,3.3520753
112,1,228,3.5334632
113,1,229,1.9962034
114,1,230,2.7872214
115,1,232,2.69382
116,1,233,3.5236
117,1,235,2.8892016
118,1,236,2.320095
119,1,241,2.3893812
120,1,242,4.5679293
121,1,243,2.9296942
122,1,248,3.6883001
123,1,250,3.7749157
124,1,252,4.0326815
125,1,253,3.5165458
126,1,254,3.8449116
127,1,255,4.0103235
128,1,258,1.9246339
129,1,259,2.384209
130,1,260,3.8503492
131,1,262,3.4741125
132,1,264,2.9775188
133,1,265,2.4792557
134,1,266,3.253177
135,1,267,2.4363012
136,1,272,4.389885
137,2,13,3.1013527
138,2,19,4.0665393
139,2,50,4.337842
140,2,251,4.3994536
141,2,257,2.0793602
142,2,279,3.8117056
143,2,280,3.0845997
144,2,281,3.242441
145,2,290,3.2390523
146,2,292,4.1037483
147,2,297,4.339752
148,2,298,4.1137285
149,2,299,3.666925
150,2,301,3.9361346
151,2,303,3.85207
152,2,307,3.9401023
153,2,308,4.0517597
154,2,312,4.1947165
155,2,313,4.187919
156,2,314,4.0752287
157,2,315,4.164851
158,2,316,4.17211
159,3,245,3.0259771
160,3,264,2.5571632
161,3,272,4.134618
162,3,294,3.696936
163,3,299,3.163446
164,3,300,3.8290086
165,3,307,3.4810338
166,3,318,3.5475707
167,3,323,3.0570018
168,3,324,2.0854862
169,3,327,3.1559668
170,3,328,2.7751193
171,3,330,3.6738
172,3,331,2.7813582
173,3,332,3.5278296
174,3,334,2.2393403
175,3,335,3.458619
176,3,337,3.6132226
177,3,341,3.9746685
178,3,343,3.4113033
179,3,345,3.1497521
180,3,348,3.2335787
181,3,349,3.7006676
182,3,350,3.0492895
183,3,351,3.3220947
184,3,354,3.5503438
185,4,50,4.729092
186,4,260,4.5291877
187,4,264,3.9889235
188,4,288,4.193061
189,4,294,4.6225824
190,4,303,4.486163
191,4,354,4.56326
192,4,356,3.7368689
193,4,357,4.298698
194,4,361,3.6178343
195,5,1,3.367992
196,5,2,2.6318426
197,5,17,2.8910875
198,5,24,1.8151697
199,5,40,2.326252
200,5,42,2.8900895
201,5,62,3.3590102
202,5,69,3.396124
203,5,79,2.6326797
204,5,80,2.8864036
205,5,89,2.403716
206,5,90,3.612387
207,5,94,3.622562
208,5,98,3.513924
209,5,100,3.791832
210,5,102,3.6074233
211,5,109,3.5758185
212,5,110,3.250644
213,5,139,3.5566316
214,5,143,2.935041
215,5,144,2.9591637
216,5,153,3.1114504
217,5,154,3.0562322
218,5,167,2.3609905
219,5,173,2.8056164
220,5,176,2.5262983
221,5,185,2.2673688
222,5,209,3.5593746
223,5,211,3.503301
224,5,214,2.5706894
225,5,219,2.8214374
226,5,222,2.7993894
227,5,225,1.4596064
228,5,227,2.8047304
229,5,230,2.2700198
230,5,231,2.8490071
231,5,234,2.1513214
232,5,241,1.938481
233,5,243,2.3972979
234,5,259,1.9343865
235,5,267,1.9758658
236,5,363,2.9347653
237,5,364,2.5593534
238,5,369,2.2326398
239,5,370,2.308404
240,5,372,3.1691043
241,5,376,3.1996915
242,5,377,3.4210303
243,5,379,3.430637
244,5,382,2.6761556
245,5,384,2.4385731
246,5,385,2.754614
247,5,388,2.2987792
248,5,389,2.028438
249,5,391,2.940958
250,5,393,2.3568244
251,5,394,3.044399
252,5,397,2.0963616
253,5,400,2.2644362
254,5,402,1.9802641
255,5,403,2.7348814
256,5,407,2.0318935
257,5,410,3.0559301
258,5,411,2.3766384
259,5,413,2.0894299
260,5,417,1.9052582
261,5,418,2.3164349
262,5,421,4.0725613
263,5,422,2.6607542
264,5,423,3.6960855
265,5,424,3.5583081
266,5,426,3.0952165
267,5,428,3.409656
268,5,429,3.5423265
269,5,433,2.6045973
270,5,435,2.9693642
271,5,436,2.777338
272,5,439,2.9092607
273,5,441,3.1675696
274,5,444,3.8424146
275,5,445,3.5169587
276,5,453,3.025713
277,5,454,2.4508636
278,5,457,2.452116
279,6,14,3.987763
280,6,15,2.4417362
281,6,19,3.7684731
282,6,23,2.6925797
283,6,28,2.7200298
284,6,32,3.4471447
285,6,56,2.1759346
286,6,59,2.4647093
287,6,69,3.6509824
288,6,70,3.7237597
289,6,81,2.937053
290,6,86,3.276684
291,6,87,4.0042634
292,6,95,4.17308
293,6,98,3.7597523
294,6,100,4.009796
295,6,117,3.5719194
296,6,124,3.6517546
297,6,125,2.0169754
298,6,131,1.5566583
